PCA1,PCA2,TIME,VELOCITY,REPEAT,SIMULATOR
-530.2105329369451,-38.48839098162841,16.0,47.0,4,READDY
713.3024485886006,-90.4583697065184,0.00308,47.0,4,CYTOSIM
694.7393479864663,-41.144536503404765,0.00308,47.0,1,CYTOSIM
-208.81933952095073,58.52030252093584,30.5,4.7,1,READDY
-654.1024269052111,-61.228717401987524,12.0,47.0,2,READDY
-83.73957265334656,-137.42398538611644,45.5,150.0,2,READDY
579.931639659374,-130.61820609330425,88.5,15.0,1,READDY
463.18982691265836,-16.573428053247426,75.5,4.7,2,READDY
459.46270404425405,83.14349659100878,0.00785,15.0,2,CYTOSIM
102.32993082357689,30.76111850486882,53.5,15.0,4,READDY
534.3686730565057,30.356928879010866,0.00835,15.0,2,CYTOSIM
-176.8606531808633,132.0007910541982,0.00037,150.0,4,CYTOSIM
718.1373249352612,-97.09004612281024,96.5,47.0,0,READDY
-188.05759448190494,-91.1958836551554,36.0,150.0,1,READDY
-576.8028662388167,69.86849143705251,11.0,4.7,4,READDY
-335.5459837458952,138.97500419347523,0.0026,15.0,1,CYTOSIM
-240.8589005867634,123.18867220008008,0.0031,15.0,3,CYTOSIM
-866.615839306196,-292.83712214051525,12.0,150.0,2,READDY
-161.3833661958439,100.30807820899315,33.5,15.0,4,READDY
671.3010074915333,-177.1739120402084,95.0,150.0,4,READDY
-99.84566862073439,122.78566808588687,0.001265,47.0,4,CYTOSIM
407.4308522531864,68.14013710143524,0.000755,150.0,2,CYTOSIM
705.6776319722048,29.897530507057695,0.00099,150.0,3,CYTOSIM
605.9621760502848,-140.1261790034224,87.5,4.7,2,READDY
510.52750146760997,-63.77564525792911,79.5,15.0,1,READDY
548.0399282727344,71.78098197955126,0.0086,15.0,2,CYTOSIM
-207.98351233462046,104.17717649275221,30.0,15.0,3,READDY
-72.3705597911472,25.342984538456108,40.0,47.0,1,READDY
-161.43666580471148,-260.19553232796943,44.5,150.0,0,READDY
-130.93239063123866,120.51528725202672,0.011725,4.7,3,CYTOSIM
-228.76028876845697,124.10459174702112,0.0032,15.0,3,CYTOSIM
704.450188444866,42.21570639048116,0.003095,47.0,3,CYTOSIM
-1065.462537317328,-155.78894986098373,0.0,150.0,4,READDY
-317.59119899255046,28.237649214513795,25.5,47.0,1,READDY
685.5276665669417,-230.02765712372877,96.0,15.0,3,READDY
392.9295355984099,-57.34909756105503,70.0,47.0,0,READDY
615.2325080205765,-236.26409226623616,93.0,15.0,1,READDY
-855.6657011223047,-94.13164971534809,0.00013,150.0,3,CYTOSIM
-460.24764829620227,53.14473539049584,0.00602,4.7,3,CYTOSIM
