,PC1,PC2,TIME,VELOCITY,REPEAT,SIMULATOR,COMPRESSION_RATIO,PEAK_ASYMMETRY,NON_COPLANARITY
4447,675.0214447023436,158.95501589805846,116.0,47.0,1,READDY,0.0501594450170977,0.1177997622229422,0.0057277980163175
6056,-167.63995701165393,-41.96817211165674,543.0,4.7,4,READDY,0.1829585058302344,0.0115995039225974,0.0019630971519585
2907,-337.6898203993374,-48.835915031127726,0.006735,15.0,3,CYTOSIM,0.2019911953218937,0.0111084962727361,0.0011427759967409
6464,-260.8143182562265,107.82255886616339,648.0,47.0,4,READDY,0.2147641158574593,0.0129089896002121,0.0073025191301638
4524,620.7750040358545,85.35496387200453,136.0,47.0,2,READDY,0.0580447159752477,0.0347451976511432,0.0061318532756892
7250,-570.6753626493557,137.13211923021038,859.0,4.7,1,READDY,0.2795511017504296,0.0102263664550736,0.0135781906975016
5993,140.04268489052407,398.02008771970884,523.0,150.0,3,READDY,0.1748991902824408,0.0141267278708274,0.0333260043897095
2403,-704.5912905924465,-42.134629707237494,0.00308,47.0,4,CYTOSIM,0.2917990786363726,0.017570536548482,2.217336131777473e-05
6725,-361.1472599489273,142.16156530173043,719.0,15.0,4,READDY,0.2361425222352957,0.0109356444674035,0.0131241719440443
7635,-680.0006382229864,139.27682919282583,960.0,15.0,1,READDY,0.3090282795130964,0.0165473201267762,0.0107237530237745
6024,-115.18416968690968,6.177715409831505,533.0,47.0,1,READDY,0.1802068998415852,0.0169365654391321,0.0038569816727015
6841,-448.6024605305584,23.841716005925456,749.0,47.0,1,READDY,0.2453944730024534,0.0071625916704126,0.0037240980070072
6945,-492.6230291168739,70.60003875654634,779.0,4.7,0,READDY,0.2534409457044133,0.0088273393284123,0.0062042509642257
4258,814.5585275408042,45.16456249446648,65.0,47.0,2,READDY,0.0341254736708552,0.0960822272635781,0.0023759577298575
1882,453.7956917971606,-81.55502289727382,0.00191,15.0,3,CYTOSIM,0.0571599468606733,0.0035168496174128,6.099844254437987e-05
634,73.14796224102253,-112.04147226932483,0.00042,150.0,0,CYTOSIM,0.1245209055262088,0.0233665459847901,4.020486603676914e-05
5469,73.34484507098267,-61.35579213400051,387.0,15.0,1,READDY,0.1336086214643714,0.0164453460433774,0.0011041191525037
5116,639.4916448546116,238.0595362130977,291.0,150.0,0,READDY,0.1033184719171124,0.1054932639518789,0.0164459758066074
2570,71.89883365161278,-85.43832495100477,0.00417,15.0,1,CYTOSIM,0.124993548776991,0.0036766201411193,0.0004144242233051
6162,-160.39477486265005,62.109250213686956,568.0,150.0,1,READDY,0.1885555389823089,0.0136578933798008,0.0069792933360757
1416,-703.3556477285167,-37.3252055316616,0.00096,150.0,2,CYTOSIM,0.2865061100222539,0.0062453784909741,4.6153797994601886e-05
1494,648.5073041787036,-54.67370823229287,0.001055,15.0,0,CYTOSIM,0.0315169032840493,0.007638513514781,4.075448378045874e-05
1614,51.826473838819176,-48.89440289582426,0.00132,47.0,0,CYTOSIM,0.124803326009717,0.0166995425761081,0.00090200620125
7690,-721.7162001154138,169.59746220927818,975.0,4.7,4,READDY,0.3155653432369697,0.0109651264910868,0.0120218057756872
2198,-524.8613346442162,-98.66816404125444,0.00262,47.0,4,CYTOSIM,0.2482137116026478,0.0013955269027268,0.0004828105209566
7504,-657.8997852330692,111.50034887117984,925.0,15.0,4,READDY,0.298608887310651,0.002921270316903,0.0081054607731383
5109,247.3886533702249,-49.240029200215616,291.0,15.0,3,READDY,0.1024238513843751,0.0082483032855974,0.0009051603113043
2444,214.50430057514419,-123.25546419959687,0.003215,15.0,0,CYTOSIM,0.0963667762290142,0.0098120663066368,0.0001194129761093
3551,-129.0285942508272,-108.88799100556963,0.016875,4.7,2,CYTOSIM,0.1599664268977521,0.0048128272241529,1.987531524463635e-05
5774,-54.35183311569554,-22.11395399157456,467.0,15.0,3,READDY,0.1569807797054474,0.0345807364774907,0.0019355820843979
1041,726.1410164082929,-22.81775194161765,0.000705,15.0,2,CYTOSIM,0.0210286836228794,0.0080815093324467,0.0002145939488377
2866,-309.05357761594115,-102.59091067860777,0.00643,15.0,2,CYTOSIM,0.1928273219347936,0.0295755477604802,8.620395464339653e-05
7592,-633.6308948484219,194.7381691209169,950.0,4.7,1,READDY,0.3084498240831648,0.0287668986621943,0.0164380739375634
6908,-455.3449631805297,108.54622339575306,769.0,4.7,1,READDY,0.2518538028030098,0.015684308689875,0.0088532753523691
6878,-423.03200150243504,108.5736640305899,759.0,47.0,0,READDY,0.2492481199196035,0.0235326311067188,0.0115767214423341
3420,90.15649163841178,-121.15399293203726,0.01274,4.7,1,CYTOSIM,0.1207417030288515,0.0037730664181971,8.01015101633306e-05
3662,-255.85738385945393,-114.69714375005447,0.02038,4.7,3,CYTOSIM,0.1931902529121727,0.0199916154948591,6.118700884650043e-05
3661,-262.7183669487814,-113.65257171542245,0.02038,4.7,2,CYTOSIM,0.1933281035991945,0.0139808070802902,0.0002794220062253
3484,7.7371564704896345,-143.88565250167068,0.01481,4.7,0,CYTOSIM,0.1403872662288623,0.0259509759776424,0.0003285037699852
444,293.59444678227493,-102.14142396802535,0.00029,150.0,0,CYTOSIM,0.0855081050875015,0.0275932924206347,0.000190166776757
7366,-626.9899525532277,214.52729536144548,889.0,4.7,3,READDY,0.2908002507675723,0.0592919472750348,0.0151571662008984
6466,-281.5835739069481,60.58155365000239,648.0,150.0,1,READDY,0.2140581599339641,0.0095972197469689,0.0048566755373908
7517,-678.0496222219101,143.89042176850486,930.0,4.7,2,READDY,0.3014387735356855,0.0135503382335205,0.0100738820849005
6733,-375.65831078029476,92.57559543762619,719.0,150.0,2,READDY,0.2357256670784623,0.0148593809526477,0.0077002874468864
4204,997.9683740428827,22.222719834267444,50.0,150.0,0,READDY,0.0287478388089479,0.2124083011614105,0.002283830045819
6289,-246.30398853789507,42.841725124825565,603.0,47.0,0,READDY,0.2018855974487375,0.0108349863812512,0.004960919808059
3343,211.18007317850615,-93.13150137025673,0.01019,4.7,4,CYTOSIM,0.0965594532774166,0.0077442344750378,0.0002137948758224
1615,37.07287591949928,-84.47458028767139,0.00132,47.0,1,CYTOSIM,0.1247959223692826,0.0441115491506562,7.311967488747241e-05
7091,-522.414627993976,99.27179532350205,814.0,47.0,4,READDY,0.2665647534639646,0.0130856106720296,0.0061538666844938
